name,owner,url,stars,forks,watchers,created_at,updated_at,description,repo_age_days,merged_pull_requests,total_releases,days_since_last_update,primary_language,closed_issues_ratio,total_issues,closed_issues
manim,3b1b,https://github.com/3b1b/manim,79679,6841,929,2015-03-22T18:50:58Z,2025-08-21T22:50:22Z,Animation engine for explanatory math videos,3805,642,13,0,Python,0.6278877887788779,1212,761
spring-boot,spring-projects,https://github.com/spring-projects/spring-boot,78165,41413,3343,2012-10-19T15:02:57Z,2025-08-21T22:24:32Z,"Spring Boot helps you to create Spring-powered, production-grade applications and services with absolute minimum fuss.",4689,42,320,0,Java,0.985872110783016,39284,38729
advanced-java,doocs,https://github.com/doocs/advanced-java,78130,19248,2579,2018-10-06T11:38:30Z,2025-08-21T16:56:56Z,😮 Core Interview Questions & Answers For Experienced Java(Backend) Developers | 互联网 Java 工程师进阶知识完全扫盲：涵盖高并发、分布式、高可用、微服务、海量数据处理等领域知识,2511,88,1,0,Java,0.9931972789115646,147,146
system-prompts-and-models-of-ai-tools,x1xhlol,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,78109,21882,1012,2025-03-05T16:38:29Z,2025-08-21T22:24:35Z,"FULL v0, Cursor, Manus, Augment Code, Same.dev, Lovable, Devin, Replit Agent, Windsurf Agent, VSCode Agent, Dia Browser, Xcode, Trae AI, Cluely & Orchids.app (And other Open Sourced) System Prompts, Tools & AI Models.",169,23,0,0,Unknown,0.5294117647058824,102,54
devops-exercises,bregman-arie,https://github.com/bregman-arie/devops-exercises,78013,17500,1268,2019-10-03T17:31:21Z,2025-08-21T20:42:32Z,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions",2149,302,0,0,Python,0.6464646464646465,99,64
models,tensorflow,https://github.com/tensorflow/models,77618,45510,2681,2016-02-05T01:15:20Z,2025-08-21T22:01:45Z,Models and examples built with TensorFlow,3485,2341,50,0,Python,0.8528446389496718,7312,6236
awesome-for-beginners,MunGell,https://github.com/MunGell/awesome-for-beginners,76807,7369,1289,2015-10-24T19:53:36Z,2025-08-21T21:35:48Z,A list of awesome beginners-friendly projects.,3589,453,0,0,Unknown,0.9405405405405406,185,174
ML-For-Beginners,microsoft,https://github.com/microsoft/ML-For-Beginners,76745,17195,1040,2021-03-03T01:34:05Z,2025-08-21T22:19:18Z,"12 weeks, 26 lessons, 52 quizzes, classic Machine Learning for all",1632,374,0,0,HTML,0.9591836734693877,147,141
awesome-interview-questions,DopplerHQ,https://github.com/DopplerHQ/awesome-interview-questions,76634,9146,1719,2015-11-28T09:48:17Z,2025-08-21T22:49:35Z,:octocat: A curated awesome list of lists of interview questions. Feel free to contribute! :mortar_board: ,3554,175,0,0,Unknown,0.5573770491803278,61,34
gpt4all,nomic-ai,https://github.com/nomic-ai/gpt4all,76520,8257,694,2023-03-27T18:49:32Z,2025-08-21T22:57:39Z,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,878,934,38,0,C++,0.6805491990846682,2185,1487
LeetCodeAnimation,MisterBooo,https://github.com/MisterBooo/LeetCodeAnimation,76403,14022,2536,2018-12-06T08:01:22Z,2025-08-21T19:09:19Z,Demonstrate all the questions on LeetCode in the form of animation.（用动画的形式呈现解LeetCode题目的思路）,2450,63,0,0,Java,0.6774193548387096,62,42
playwright,microsoft,https://github.com/microsoft/playwright,76237,4480,531,2019-11-15T18:32:42Z,2025-08-21T21:48:27Z,"Playwright is a framework for Web Testing and Automation. It allows testing Chromium, Firefox and WebKit with a single API. ",2106,15066,151,0,TypeScript,0.9489758371151723,16306,15474
netdata,netdata,https://github.com/netdata/netdata,75625,6127,1355,2013-06-17T18:39:10Z,2025-08-21T21:50:21Z,"The fastest path to AI-powered full stack observability, even for lean teams.",4448,10930,120,0,C,0.9794208256315465,8115,7948
Font-Awesome,FortAwesome,https://github.com/FortAwesome/Font-Awesome,75585,12205,1348,2012-02-17T14:19:43Z,2025-08-21T19:44:17Z,"The iconic SVG, font, and CSS toolkit",4934,212,60,0,JavaScript,0.8100445524503848,19752,16000
